,ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,label,AQI
789,0.0445,0.0561,0.0856,0.0833,0.2042,0.1552,0.0982,0.1209,0.420521739,0.959438241,50,3,66
136,0.0372,0.052,0.0814,0.0741,0.2514,0.1624,0.0949,0.1773,0.544700461,1.022105895,287,1,18
334,0.5124,0.5436,0.5903,0.6211,0.6855,0.6533,0.5537,0.0644,0.049288229,0.741139817,47,1,24
150,0.0458,0.0584,0.0819,0.082,0.2172,0.1771,0.1115,0.1352,0.451871658,0.975639102,348,1,19
699,0.0637,0.0905,0.1059,0.1126,0.2709,0.1949,0.1351,0.1583,0.412777053,0.955393664,303,2,48
450,0.1096,0.1263,0.1478,0.1504,0.2453,0.2112,0.1593,0.0949,0.239828153,0.860132637,303,2,27
715,0.0594,0.0728,0.109,0.0987,0.2332,0.2159,0.1575,0.1345,0.405242543,0.951442349,284,3,51
684,0.0554,0.0758,0.097,0.0973,0.1723,0.1611,0.1211,0.075,0.278189911,0.88215073,319,2,46
193,0.5407,0.5454,0.5408,0.5598,0.5867,0.4659,0.3465,0.0269,0.023462713,0.723507231,332,1,21
265,0.1223,0.1233,0.157,0.1627,0.227,0.2176,0.1688,0.0643,0.164998717,0.815474535,348,1,22
139,0.0243,0.0289,0.036,0.0333,0.1204,0.0883,0.0645,0.0871,0.566688354,1.032806058,255,1,18
756,0.0826,0.0899,0.0945,0.0896,0.1204,0.0991,0.0687,0.0308,0.146666667,0.804155872,79,3,58
768,0.0471,0.0585,0.0708,0.0807,0.1182,0.1383,0.1058,0.0375,0.188536953,0.829781268,351,3,60
728,0.0586,0.066,0.075,0.0744,0.1696,0.1343,0.1013,0.0952,0.390163934,0.943484994,335,3,52
131,0.0394,0.056,0.0924,0.0881,0.2863,0.2096,0.1319,0.1982,0.529380342,1.014583827,191,1,18
256,0.0688,0.0891,0.1285,0.153,0.3702,0.3793,0.2166,0.2172,0.415137615,0.956628253,127,1,22
325,0.0585,0.0649,0.089,0.0865,0.1742,0.141,0.0961,0.0877,0.336401995,0.91455016,47,1,23
390,0.0551,0.0633,0.0812,0.0826,0.1342,0.172,0.1521,0.0516,0.23800738,0.859073559,303,1,25
611,0.0503,0.0518,0.0537,0.0453,0.0584,0.0421,0.0319,0.0131,0.12632594,0.791407569,316,2,37
660,0.0497,0.0583,0.0848,0.0817,0.2035,0.1682,0.1295,0.1218,0.427068724,0.962844081,2,2,42
903,0.0856,0.0954,0.1206,0.1102,0.1887,0.1525,0.1066,0.0785,0.262629642,0.873286689,34,4,121
17,0.0306,0.0404,0.0602,0.0585,0.2225,0.1647,0.0958,0.164,0.583629893,1.040975453,300,1,9
206,0.0944,0.1044,0.132,0.1542,0.347,0.3937,0.2272,0.1928,0.384676776,0.940572579,63,1,21
955,0.6175,0.6271,0.6237,0.6318,0.6583,0.5439,0.4471,0.0265,0.020541043,0.721485304,15,4,172
830,0.0337,0.044,0.0713,0.0684,0.1945,0.1623,0.1171,0.1261,0.479650057,0.98977273,351,3,82
495,0.0669,0.0859,0.1127,0.1222,0.2182,0.2014,0.1604,0.096,0.282021152,0.884319598,319,2,30
704,0.4929,0.5236,0.52,0.5362,0.6027,0.5337,0.4288,0.0665,0.058389674,0.747254759,316,2,50
455,0.0904,0.0893,0.0913,0.0871,0.1165,0.1193,0.1128,0.0294,0.144400786,0.802745779,2,2,27
61,0.0485,0.0582,0.1089,0.0891,0.3944,0.2655,0.1606,0.3053,0.631437435,1.063690479,255,1,15
523,0.0453,0.0551,0.0747,0.0765,0.161,0.1448,0.1092,0.0845,0.355789474,0.9250889,303,2,31
981,0.0611,0.0741,0.1104,0.0961,0.2397,0.2063,0.1594,0.1436,0.427635497,0.963138358,31,4,210
220,0.0594,0.0644,0.0793,0.0815,0.1949,0.2002,0.1674,0.1134,0.410274964,0.954083311,316,1,21
711,0.0936,0.118,0.1343,0.1491,0.2075,0.2886,0.2233,0.0584,0.163768929,0.814720154,50,3,51
736,0.0767,0.1084,0.1331,0.1413,0.2205,0.2099,0.1688,0.0792,0.218905473,0.847882936,271,3,53
489,0.0337,0.0444,0.0686,0.0751,0.1344,0.1341,0.0923,0.0593,0.283054893,0.884903889,335,2,29
870,0.087,0.1184,0.1599,0.1565,0.2191,0.2097,0.1533,0.0626,0.166666667,0.816496581,18,4,104
806,0.1201,0.122,0.1297,0.1253,0.2483,0.2118,0.1672,0.123,0.329229122,0.910620185,271,3,72
607,0.0463,0.0595,0.0886,0.0859,0.1622,0.1182,0.0875,0.0763,0.307537283,0.898630783,287,2,37
713,0.1113,0.1118,0.1156,0.1093,0.2774,0.2814,0.2189,0.1681,0.434703905,0.966800861,332,3,51
583,0.0636,0.0832,0.1044,0.1128,0.1975,0.1739,0.1317,0.0847,0.27296165,0.879182376,284,2,35
