ca,blue,green,red,nir,swir1,swir2,VI,NDVI,TVI,DOY,AQI
0.0825,0.0804,0.0816,0.0662,0.086,0.0461,0.0286,0.0198,0.130091984,0.793783336,95,17
0.5535,0.587,0.6156,0.6393,0.7274,0.6836,0.5588,0.0881,0.064461842,0.751306757,303,18
0.4055,0.4165,0.4334,0.4329,0.4791,0.4097,0.3415,0.0462,0.050657895,0.742063269,303,18
0.4008,0.4101,0.4295,0.4305,0.4777,0.404,0.3347,0.0472,0.051970932,0.742947462,303,18
0.0924,0.1132,0.1426,0.1501,0.2796,0.2697,0.2159,0.1295,0.301373051,0.895194421,284,18
0.0835,0.091,0.1066,0.1074,0.1982,0.2255,0.1863,0.0908,0.297120419,0.892816005,335,18
0.0635,0.0767,0.1,0.1016,0.1997,0.2214,0.1852,0.0981,0.325589114,0.908619345,335,18
0.1041,0.1121,0.1202,0.1141,0.272,0.2404,0.1793,0.1579,0.408961409,0.953394676,47,18
0.0664,0.0779,0.0955,0.0958,0.1736,0.2085,0.1687,0.0778,0.288789903,0.888138448,95,18
0.0593,0.0709,0.0916,0.0913,0.1708,0.2042,0.1663,0.0795,0.303319344,0.89628084,95,18
0.0913,0.0927,0.1569,0.1547,0.199,0.1931,0.1637,0.0443,0.125247385,0.790725859,335,18
0.1019,0.1022,0.1482,0.1498,0.1985,0.1901,0.1537,0.0487,0.139821993,0.799888738,335,18
0.0394,0.056,0.0924,0.0881,0.2863,0.2096,0.1319,0.1982,0.529380342,1.014583827,191,18
0.0557,0.0634,0.0838,0.0919,0.1239,0.1428,0.1173,0.032,0.148285449,0.805161754,335,18
0.0572,0.0623,0.0817,0.0892,0.1165,0.1336,0.1143,0.0273,0.13271755,0.795435447,335,18
0.0343,0.049,0.0825,0.0781,0.2417,0.1735,0.1093,0.1636,0.511569731,1.005768229,348,18
0.0714,0.0774,0.0937,0.0861,0.2508,0.1626,0.0986,0.1647,0.488869101,0.994418976,287,18
0.0372,0.052,0.0814,0.0741,0.2514,0.1624,0.0949,0.1773,0.544700461,1.022105895,287,18
0.1069,0.111,0.1236,0.1161,0.1238,0.0926,0.0761,0.0077,0.032096707,0.729449592,287,18
0.1069,0.111,0.1231,0.1153,0.1241,0.0929,0.0745,0.0088,0.036758563,0.732638085,287,18
0.0243,0.0289,0.036,0.0333,0.1204,0.0883,0.0645,0.0871,0.566688354,1.032806058,255,18
0.4438,0.4767,0.5173,0.5635,0.6584,0.6393,0.4987,0.0949,0.07766593,0.760043374,95,19
0.4444,0.4776,0.5183,0.5648,0.6618,0.6423,0.4955,0.097,0.079080385,0.760973314,95,19
0.4631,0.4688,0.4717,0.4794,0.5171,0.4878,0.4277,0.0377,0.037832413,0.733370584,332,19
0.4577,0.4621,0.4622,0.4668,0.5081,0.4783,0.4111,0.0413,0.042363319,0.736453202,332,19
0.1912,0.1904,0.2123,0.2099,0.3187,0.2965,0.2243,0.1088,0.205826712,0.840134937,300,19
0.1924,0.1916,0.2132,0.2097,0.3186,0.2975,0.2207,0.1089,0.206132879,0.84031713,300,19
0.0535,0.0679,0.106,0.0962,0.3166,0.2266,0.1329,0.2204,0.533914729,1.016815976,287,19
0.0395,0.056,0.0993,0.0891,0.3145,0.2255,0.1308,0.2254,0.558473736,1.028821528,287,19
0.0468,0.0589,0.0887,0.0773,0.3205,0.2195,0.1205,0.2432,0.611362494,1.054211788,255,19
0.0535,0.0639,0.0909,0.0784,0.3213,0.2205,0.1145,0.2429,0.607705779,1.052476023,255,19
0.0458,0.0584,0.0819,0.082,0.2172,0.1771,0.1115,0.1352,0.451871658,0.975639102,348,19
0.0649,0.0695,0.1064,0.0772,0.4201,0.2087,0.1103,0.3429,0.689523427,1.090652752,287,19
0.0459,0.0578,0.0795,0.0788,0.2167,0.1765,0.1103,0.1379,0.466666667,0.98319208,348,19
0.043,0.0528,0.0994,0.0699,0.4206,0.21,0.108,0.3507,0.714984709,1.102263448,287,19
0.0427,0.0559,0.0827,0.0812,0.2536,0.1797,0.1063,0.1724,0.514934289,1.007439472,319,19
0.0338,0.0402,0.0503,0.0511,0.1046,0.0937,0.0748,0.0535,0.343609505,0.918482175,2,19
0.0359,0.0418,0.0513,0.0518,0.105,0.0933,0.0746,0.0532,0.339285714,0.916125381,2,19
0.0935,0.0978,0.1099,0.1004,0.098,0.0747,0.0611,-0.0024,-0.012096774,0.698500699,319,19
0.0936,0.0978,0.1095,0.1,0.0979,0.0744,0.0603,-0.0021,-0.01061142,0.699563135,319,19
0.0535,0.0578,0.0633,0.0524,0.0867,0.0696,0.0546,0.0343,0.246585191,0.864051613,143,19
0.0501,0.0542,0.0627,0.0519,0.0867,0.0644,0.0504,0.0348,0.251082251,0.866650016,143,19
0.0414,0.0512,0.0736,0.0617,0.0558,0.0492,0.0418,-0.0059,-0.050212766,0.670661788,348,19
0.0474,0.0558,0.0761,0.064,0.0572,0.0489,0.0412,-0.0068,-0.056105611,0.666253998,348,19
0.0745,0.0804,0.0968,0.0818,0.0606,0.0409,0.033,-0.0212,-0.148876404,0.592556829,63,19
0.0586,0.0669,0.0891,0.0732,0.0536,0.039,0.0314,-0.0196,-0.154574132,0.587729417,63,19
0.0471,0.0552,0.0729,0.0743,0.0434,0.0132,0.0124,-0.0309,-0.262531861,0.487307028,335,19
0.0509,0.058,0.0745,0.0753,0.044,0.0133,0.0119,-0.0313,-0.262363789,0.487479447,335,19
